category,taxon,microgroup,mean_contribution,sd_contribution
Groundwater,Ca. Wildermuthbacteria,CPR,0.0014085414062287175,1.2100705059159869e-4
Groundwater,Ca. Kuenenbacteria,CPR,0.0030064476883802102,2.1629156411987944e-4
Groundwater,Ca. Amesbacteria,CPR,0.007892678523610294,6.216805459364395e-4
Groundwater,Ca. Lokiarchaeota,CPR,0.00311893674328012,0
Groundwater,Ca. Vogelbacteria,CPR,0.00149082883558982,1.5779791088196807e-4
Groundwater,Ca. Raymondbacteria,CPR,0.0020685120075860787,2.637906924712697e-4
Groundwater,Ca. Woykebacteria,CPR,0.001219393688401804,1.254398876848855e-4
Groundwater,Ca. Ryanbacteria,CPR,0.0019283832507498424,2.259910784285679e-4
Groundwater,Balneolota,Bonafide,0.0234216097251837,0
Groundwater,Ca. Adlerbacteria,CPR,0.008565367309032,8.161668413145933e-4
Groundwater,Ca. Margulisbacteria,CPR,0.0026979491070197,0
Groundwater,Ca. Azambacteria,CPR,0.0071292569461710985,8.525711322131384e-4
Groundwater,Ca. Campbellbacteria,CPR,0.005436508636558256,4.5674352526175874e-4
Groundwater,Ca. Firestonebacteria,CPR,0.0038454602174159435,2.6805632386363016e-4
Groundwater,Ca. Beckwithbacteria,CPR,0.00680367808749216,6.42122159746679e-4
Groundwater,Ca. Dadabacteria,CPR,0.004763175315862912,4.514185146870884e-4
Groundwater,Ca. Harrisonbacteria,CPR,0.0033921494936797613,2.998465140325719e-4
